<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
RBCM,60,20160421,140000,5.5950000,5.6100000,5.5900000,5.6100000,4000
RBCM,60,20160421,150000,5.6150000,5.6300000,5.6150000,5.6300000,2000
RBCM,60,20160421,160000,5.6200000,5.6300000,5.6200000,5.6300000,6900
RBCM,60,20160421,170000,5.6050000,5.6100000,5.5900000,5.6100000,9500
RBCM,60,20160421,180000,5.5950000,5.6300000,5.5950000,5.6050000,11700
RBCM,60,20160421,190000,5.6050000,5.6100000,5.5600000,5.5600000,42200
RBCM,60,20160422,110000,5.6000000,5.6000000,5.5850000,5.5950000,91700
RBCM,60,20160422,120000,5.6000000,5.6150000,5.5000000,5.5650000,57200
RBCM,60,20160422,130000,5.5550000,5.5750000,5.5450000,5.5750000,38800
RBCM,60,20160422,140000,5.5700000,5.5750000,5.5700000,5.5750000,1300
RBCM,60,20160422,150000,5.5750000,5.6000000,5.5750000,5.5900000,16300
RBCM,60,20160422,160000,5.5900000,5.6000000,5.5900000,5.5950000,3300
RBCM,60,20160422,170000,5.5900000,5.6450000,5.5900000,5.5900000,48200
RBCM,60,20160422,180000,5.6000000,5.6000000,5.5600000,5.5650000,8500
RBCM,60,20160422,190000,5.5850000,5.5850000,5.5600000,5.5850000,6000
