<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
EUR_RUB__TOM,60,20160415,160000,74.9700000,75.1000000,74.8890000,74.9160000,47545000
EUR_RUB__TOM,60,20160415,170000,74.8670000,75.1780000,74.7700000,75.1490000,23519000
EUR_RUB__TOM,60,20160415,180000,75.1810000,75.3500000,75.1640000,75.2990000,20344000
EUR_RUB__TOM,60,20160415,190000,75.2540000,75.2620000,74.9500000,74.9960000,12782000
EUR_RUB__TOM,60,20160415,200000,74.9900000,75.1350000,74.9900000,74.9900000,2390000
EUR_RUB__TOM,60,20160415,210000,75.0200000,75.0200000,74.7890000,74.9250000,4542000
EUR_RUB__TOM,60,20160415,220000,74.9550000,75.1290000,74.9550000,75.0260000,618000
EUR_RUB__TOM,60,20160415,230000,75.0160000,75.0160000,74.9050000,74.9700000,679000
EUR_RUB__TOM,60,20160416,000000,74.9770000,75.0000000,74.8810000,74.9500000,3341000
EUR_RUB__TOM,60,20160418,110000,76.9160000,77.7360000,76.8820000,76.9500000,69832000
EUR_RUB__TOM,60,20160418,120000,76.9650000,76.9800000,76.1000000,76.2000000,49061000
EUR_RUB__TOM,60,20160418,130000,76.2380000,76.5350000,76.0630000,76.3940000,42104000
EUR_RUB__TOM,60,20160418,140000,76.4170000,76.5840000,76.0000000,76.5110000,52122000
EUR_RUB__TOM,60,20160418,150000,76.5020000,76.6950000,76.4650000,76.6000000,25694000
EUR_RUB__TOM,60,20160418,160000,76.5880000,76.8500000,76.1600000,76.2930000,71273000
EUR_RUB__TOM,60,20160418,170000,76.3140000,76.4910000,75.4870000,75.7000000,50788000
EUR_RUB__TOM,60,20160418,180000,75.6500000,75.6940000,75.3000000,75.4610000,26771000
EUR_RUB__TOM,60,20160418,190000,75.4390000,75.5050000,74.7410000,74.9870000,38221000
EUR_RUB__TOM,60,20160418,200000,74.9850000,75.2090000,74.8400000,75.0040000,6298000
EUR_RUB__TOM,60,20160418,210000,75.0000000,75.2480000,74.9450000,75.1570000,4777000
EUR_RUB__TOM,60,20160418,220000,75.1900000,75.2660000,75.0850000,75.1010000,424000
EUR_RUB__TOM,60,20160418,230000,75.1010000,75.1010000,74.9170000,74.9990000,1031000
EUR_RUB__TOM,60,20160419,000000,74.9500000,74.9540000,74.7020000,74.8240000,3072000
EUR_RUB__TOM,60,20160419,110000,74.7020000,74.9290000,74.1850000,74.2550000,67267000
EUR_RUB__TOM,60,20160419,120000,74.2220000,74.4820000,74.1130000,74.4700000,49901000
EUR_RUB__TOM,60,20160419,130000,74.4270000,74.5140000,74.3000000,74.3390000,29853000
EUR_RUB__TOM,60,20160419,140000,74.3200000,74.4050000,74.2760000,74.3300000,25985000
EUR_RUB__TOM,60,20160419,150000,74.3250000,74.4130000,74.2140000,74.3320000,29754000
EUR_RUB__TOM,60,20160419,160000,74.3350000,74.5790000,74.3300000,74.4920000,37086000
EUR_RUB__TOM,60,20160419,170000,74.4980000,74.7350000,74.4640000,74.6300000,24909000
EUR_RUB__TOM,60,20160419,180000,74.6490000,74.6750000,74.3750000,74.5490000,31587000
EUR_RUB__TOM,60,20160419,190000,74.5610000,74.7980000,74.4990000,74.6690000,13754000
EUR_RUB__TOM,60,20160419,200000,74.6860000,75.2800000,74.5690000,75.2000000,9601000
EUR_RUB__TOM,60,20160419,210000,75.2350000,75.4070000,75.1050000,75.3000000,4203000
EUR_RUB__TOM,60,20160419,220000,75.2560000,75.3150000,74.9740000,74.9770000,1463000
EUR_RUB__TOM,60,20160419,230000,75.0080000,75.0820000,74.8700000,74.9300000,1677000
EUR_RUB__TOM,60,20160420,000000,74.9360000,74.9650000,74.6720000,74.8490000,1445000
EUR_RUB__TOM,60,20160420,110000,75.4700000,75.6000000,74.8000000,74.9590000,42551000
EUR_RUB__TOM,60,20160420,120000,74.9720000,74.9800000,74.7350000,74.9000000,29135000
EUR_RUB__TOM,60,20160420,130000,74.9130000,74.9240000,74.5300000,74.5470000,30244000
EUR_RUB__TOM,60,20160420,140000,74.5180000,74.8340000,74.4780000,74.6180000,17568000
EUR_RUB__TOM,60,20160420,150000,74.6230000,74.7510000,74.5480000,74.5970000,11842000
EUR_RUB__TOM,60,20160420,160000,74.6200000,74.9090000,74.5500000,74.8030000,42108000
EUR_RUB__TOM,60,20160420,170000,74.8270000,74.9390000,74.6750000,74.8490000,29378000
EUR_RUB__TOM,60,20160420,180000,74.8600000,74.9970000,74.4700000,74.4700000,39568000
EUR_RUB__TOM,60,20160420,190000,74.4700000,74.5730000,74.0610000,74.3000000,22885000
EUR_RUB__TOM,60,20160420,200000,74.3070000,74.4920000,74.0050000,74.1200000,8211000
EUR_RUB__TOM,60,20160420,210000,74.0500000,74.0720000,73.8200000,73.9520000,5938000
EUR_RUB__TOM,60,20160420,220000,73.9370000,73.9440000,73.6500000,73.7840000,4924000
EUR_RUB__TOM,60,20160420,230000,73.7840000,73.8710000,73.7060000,73.7060000,610000
EUR_RUB__TOM,60,20160421,000000,73.7500000,73.7860000,73.6500000,73.6500000,2311000
EUR_RUB__TOM,60,20160421,110000,73.3430000,73.6060000,73.0340000,73.5090000,56027000
EUR_RUB__TOM,60,20160421,120000,73.4910000,73.8990000,73.4910000,73.8560000,45685000
EUR_RUB__TOM,60,20160421,130000,73.8990000,73.9150000,73.6070000,73.6400000,20667000
EUR_RUB__TOM,60,20160421,140000,73.6810000,73.9090000,73.5690000,73.8750000,15985000
EUR_RUB__TOM,60,20160421,150000,73.8600000,73.9000000,73.7150000,73.8450000,47416000
EUR_RUB__TOM,60,20160421,160000,73.8580000,74.3000000,73.7910000,74.2200000,50625000
EUR_RUB__TOM,60,20160421,170000,74.2260000,74.5900000,74.1300000,74.5020000,36515000
EUR_RUB__TOM,60,20160421,180000,74.5080000,74.5910000,74.2200000,74.4520000,35771000
EUR_RUB__TOM,60,20160421,190000,74.4750000,74.8920000,74.4500000,74.6500000,21108000
EUR_RUB__TOM,60,20160421,200000,74.6500000,74.8490000,74.5020000,74.7560000,5723000
EUR_RUB__TOM,60,20160421,210000,74.7920000,74.9860000,74.7350000,74.9200000,3439000
EUR_RUB__TOM,60,20160421,220000,74.9670000,75.5000000,74.9670000,75.4320000,12408000
EUR_RUB__TOM,60,20160421,230000,75.4600000,75.4990000,75.2340000,75.2340000,3280000
EUR_RUB__TOM,60,20160422,000000,75.2020000,75.5250000,75.2010000,75.3720000,3650000
EUR_RUB__TOM,60,20160422,110000,74.6860000,74.9150000,74.3100000,74.7810000,35053000
EUR_RUB__TOM,60,20160422,120000,74.7660000,74.8000000,74.5490000,74.7500000,29064000
EUR_RUB__TOM,60,20160422,130000,74.7120000,74.9000000,74.6400000,74.7990000,13350000
EUR_RUB__TOM,60,20160422,140000,74.8000000,74.8050000,74.5100000,74.5390000,22565000
EUR_RUB__TOM,60,20160422,150000,74.5380000,74.6210000,74.1500000,74.2000000,47497000
EUR_RUB__TOM,60,20160422,160000,74.1920000,74.4720000,74.0700000,74.1980000,27489000
EUR_RUB__TOM,60,20160422,170000,74.1730000,74.2690000,73.7450000,73.9530000,29945000
EUR_RUB__TOM,60,20160422,180000,73.9000000,74.5170000,73.8500000,74.3850000,13476000
EUR_RUB__TOM,60,20160422,190000,74.3340000,74.8600000,74.2230000,74.6810000,21898000
EUR_RUB__TOM,60,20160422,200000,74.6790000,74.9500000,74.6450000,74.9270000,4545000
EUR_RUB__TOM,60,20160422,210000,74.9500000,74.9700000,74.5600000,74.6700000,5115000
EUR_RUB__TOM,60,20160422,220000,74.5620000,74.8200000,74.5600000,74.8000000,3465000
EUR_RUB__TOM,60,20160422,230000,74.7440000,74.8200000,74.7400000,74.7400000,258000
EUR_RUB__TOM,60,20160423,000000,74.6900000,74.7630000,74.6400000,74.7260000,1128000
